name,link,cost for 2,cuisines,ratings,reviews,address,lat,lon
"baba bar restaurant Restaurant, Bardez",https://www.zomato.com/goa/baba-bar-restaurant-bardez,600,"North Indian, Chinese, Mughlai",-,," House 281/1- G11, Ward 4, Gorbhat Arpora, Bardez, Goa",15.4698363557,73.8224809617
"li bai taj exotica Restaurant, Benaulim",https://www.zomato.com/goa/li-bai-taj-exotica-benaulim,"3,000","Asian, Thai, Chinese, Goan",3.8,27," Taj Exotica, Calwaddo, Near Benaulim Beach, Benaulim, Goa",15.6769731969,73.7111689523
"sfx taj fort aguada resort spa Restaurant, Candolim",https://www.zomato.com/goa/sfx-taj-fort-aguada-resort-spa-candolim,"2,000",Finger Food,4.2,64," Taj Fort Aguada Resort & Spa, Sinquerim, Bardez, Candolim, Goa",15.3911397382,73.9916673303
"aquarius kenilworth resort Restaurant, Majorda",https://www.zomato.com/goa/aquarius-kenilworth-resort-majorda,"1,000","Cafe, Asian",3.1,9," Kenilworth Resort, Utorda, Majorda, Goa",15.3177476622,73.9035557583
"camron Restaurant, Majorda",https://www.zomato.com/goa/the-camron-majorda,"1,000","North Indian, Seafood, Chinese, Goan",3.9,84," Opppsite Alila Diwa Hotel, Majorda, Goa",15.5257573238,73.8273008913
"chika bar restaurant Restaurant, Arambol",https://www.zomato.com/goa/chika-bar-restaurant-arambol,500,"Asian, Biryani, Goan, Chinese, Continental",-,," Arambol Main Road, Near A1 Restaurant, Arambol, Goa",15.2754361652,73.9146892726
"sakshi restaurant Restaurant, Panaji",https://www.zomato.com/goa/sakshi-restaurant-panaji,150,"Street Food, North Indian",NEW,," 17/97/5, St. Paul Market, Taleigao, Tiswadi, Panaji, Goa",15.6193965471,73.7371290475
"konkani restaurant Restaurant, Margao",https://www.zomato.com/goa/konkani-restaurant-margao,500,"North Indian, Konkan, Goan, Seafood",3.8,131," Jigisha Building, Varde Valaulikar Road, Margao, Goa",15.3193486394,73.9085329324
"disha fast food Restaurant, Ponda",https://www.zomato.com/goa/disha-fast-food-ponda,350,Fast Food,-,," 100, Kapileshwari, Quela, Ponda, Goa",15.3064964984,73.9122213051
"suruchi Restaurant, Colva",https://www.zomato.com/goa/suruchi-colva,500,"North Indian, South Indian, Continental",-,," Hotel Sea Coin, Colva Beach, Colva, Goa",15.6894230445,73.7049227580
"burger factory Restaurant, Anjuna",https://www.zomato.com/goa/burger-factory-anjuna,"1,000","Burger, Fast Food",4.7,1389," Anjuna Main Road, Opposite Paradise Guest House, Anjuna, Goa",15.2741964507,73.9593735337
"hotel karishma Restaurant, Margao",https://www.zomato.com/goa/hotel-karishma-margao,200,"Biryani, Goan",3.6,23," Shop 2, Madel, Near Rebello Hospital, Margao, Goa",15.4981544485,73.7684257329
"frozen corner Restaurant, Penha de Franca",https://www.zomato.com/goa/frozen-corner-penha-de-franca,400,Desserts,-,," Level 3, Mall De Goa, Porvorim, Penha de Franca, Goa",15.2450628294,73.9286974445
"uttorda inn dhaba Restaurant, Majorda",https://www.zomato.com/goa/uttorda-inn-dhaba-majorda,300,"Fast Food, North Indian",-,," Uttorda, Majorda, Goa",15.2884299256,73.9538582414
"happy banana fruit vegetable bar Restaurant, Arambol",https://www.zomato.com/goa/happy-banana-fruit-and-vegetable-bar-arambol,300,"Healthy Food, Beverages, Juices",-,," Khalswadda Arambol, Pernem, Beach Road, Arambol, Goa",0.0000000000,0.0000000000
"d silvas cafe Restaurant, Calangute",https://www.zomato.com/goa/d-silvas-cafe-calangute,650,"North Indian, Chinese, Continental, Goan, Seafood",3.2,7," Maddo Vaddo, Calangute Beach, Calangute, Goa",15.4868545588,73.8193796575
"regency la paz Restaurant, Vasco",https://www.zomato.com/goa/the-regency-la-paz-vasco,700,"North Indian, Biryani, Seafood",3.4,26," La Paz, Swatantra Path, Vasco, Goa",15.5427970837,73.7555434182
"kudos pizzeria Restaurant, Panaji",https://www.zomato.com/goa/kudos-pizzeria-panaji,500,"Goan, Italian, Pizza",3.8,61," Shop 35 & 36, Models Meridien, Caranzalem, Panaji, Goa",15.5857345774,73.7436434627
"vaz bakers by temptation Restaurant, Vasco",https://www.zomato.com/goa/vaz-bakers-by-the-temptation-vasco,200,"Desserts, Bakery",3.1,5," The Temptation, Karma Plaza, Vasco, Goa",15.4522400000,73.9234470000
"culinary shawarma point Restaurant, Panaji",https://www.zomato.com/goa/culinary-shawarma-point-panaji,150,Rolls,3.2,5," House 470/1, Ward I, Tiswadi, Panaji, Goa",15.3885598485,73.8485604152
"jackfruit tree Restaurant, Assagao",https://www.zomato.com/goa/jackfruit-tree-assagao,500,"Fast Food, Continental",3.3,9," Anjuna Mapusa Road, Assagao, Goa",15.3970383560,73.8113018498
"zain fast food Restaurant, Vasco",https://www.zomato.com/goa/zain-fast-food-vasco,300,"Chinese, North Indian",-,," Shop 02, House 125, Airport Road, Near Bogmalo Junction, Vasco, Goa",15.5875634230,73.9463178813
"portofino kenilworth resort Restaurant, Majorda",https://www.zomato.com/goa/portofino-kenilworth-resort-majorda,900,Italian,3.0,4," Kenilworth Resort & Spa, Utorda, Majorda, Goa",15.3177618903,73.9035446942
"café mojo Restaurant, Panaji",https://www.zomato.com/cafemojogoa,"1,400",Continental,4.0,296," Menezes Branganza Road, Near Apple Corner, Panaji, Goa.",15.6839633977,73.7110683694
"cafe saachi Restaurant, Bicholim",https://www.zomato.com/goa/cafe-saachi-bicholim,500,"Chinese, North Indian",-,," Opposite Bicholim Municipality, Sanquelim, Bicholim, Goa",15.2766370610,73.9803497493
