name,link,cost for 2,cuisines,ratings,reviews,address
"shetkari garden family restaurant Restaurant, Navsaari",https://www.zomato.com/amravati/shetkari-garden-family-restaurant-navsaari,300,,-,," Walmikpur, Amravati - 444808, Navsaari, Amravati"
"varadi wada Restaurant, Maltekedi",https://www.zomato.com/amravati/varadi-wada-maltekedi,150,"Maharashtrian, Indian, Fast Food",-,," dastur nagar road, Maltekedi, Amravati"
"vrindavan mithaiya Restaurant, Ambapeth",https://www.zomato.com/amravati/vrindavan-mithaiya-ambapeth,500,Mithai,-,," Itwara Bazaar Main Road Sharda Nagar, Ambapeth, Amravati"
"manish electrcal warud Restaurant, Arjun Nagar",https://www.zomato.com/amravati/manish-electrcal-warud-arjun-nagar,200,,-,," Rashtrsant Colony, Warud, Warud Amravati, Amravati - 444906, Arjun Nagar, Amravati"
"hotel ashirwad restaurant bar Restaurant, Yogiraj Nagar",https://www.zomato.com/amravati/hotel-ashirwad-restaurant-bar-yogiraj-nagar,,,-,," National Highway 6, Shendurjana Bk, Amravati - 444902, Yogiraj Nagar, Amravati"
"beyond temptation camp Restaurant, Maltekedi",https://www.zomato.com/amravati/beyond-temptation-camp-maltekedi,,"Burger, Cafe, Fast Food, Ice Cream, Indian, Juices, Pizza, Sandwich",-,," Shop no. 10, 11, 12 Upper ground floor, Chandak chowk, Girls high school chowk, camp Amravati, Maltekedi, Amravati"
"yashika chinese Restaurant, Sharda Vihar",https://www.zomato.com/amravati/yashika-chinese-sharda-vihar,,Chinese,-,," Ravi Nagar Square, Near khatri Hospital, Sharda Vihar, Amravati"
"biryani house Restaurant, Maltekedi",https://www.zomato.com/amravati/biryani-house-maltekedi,,Maharashtrian,-,," Sanjeevani Housing Society, Near Congress Nagar Garden Camp, Maltekedi, Amravati"
"sai santosh dhaba restaurant Restaurant, Navsaari",https://www.zomato.com/amravati/sai-santosh-dhaba-and-restaurant-navsaari,,"North Indian, Maharashtrian, Indian",-,," Kathora a road mauji kathore TQ. dost amravati, Navsaari, Amravati"
"sai chinese fast food Restaurant, Hazrat Bilal Nagar",https://www.zomato.com/amravati/sai-chinese-fast-food-hazrat-bilal-nagar,150,"Chinese, Fast Food",4.0,29," Vinus Plaza, Amravati - 444601, Nr Shegao Naka, Hazrat Bilal Nagar, Amravati"
"goli vada pav no 1 Restaurant, Arjun Nagar",https://www.zomato.com/amravati/goli-vada-pav-no-1-arjun-nagar,200,"Maharashtrian, Fast Food",4.4,26," Radha Nagar Gali -1 Panchavati, Amravati, Siddhivinayak Nagar, Amravati"
"manvaar indian restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/manvaar-the-indian-restaurant-ambapeth,300,"North Indian, South Indian, Chinese, Maharashtrian",3.7,15," Navate Square, Badnera Road, Ambapeth, Amravati"
"bombay street cafe Restaurant, Ambapeth",https://www.zomato.com/amravati/bombay-street-cafe-ambapeth,300,"Fast Food, North Indian, Chinese",3.5,23," Khandelwal Cement House, Bus Stan Road, Rukhmini Nagar, Amravati - 444606, Near ICICI Bank, Ambapeth, Amravati"
"desi pizza Restaurant, Maltekedi",https://www.zomato.com/amravati/desi-pizza-maltekedi,150,Fast Food,-,," Vilas Nagar Zomato, Ramkrushna Sankul Rampuri Camp, Zone 01, Amravati, Maltekedi, Amravati"
"flavourz fast food chinese kafe Restaurant, Maltekedi",https://www.zomato.com/amravati/flavourz-fast-food-chinese-kafe-maltekedi,200,"Sandwich, Pizza, Ice Cream, Burger",3.5,39," Vilas Nagar Road, Ramkrushna Sankul Rampuri Camp, Maltekedi, Amravati"
"cake fairy Restaurant, Ambapeth",https://www.zomato.com/amravati/the-cake-fairy-ambapeth,200,"Bakery, Cafe",3.8,7," Near Sheetal Paridhan, City Library road, Bapat Chowk, amravati, amravati municipal Corporation zone 04, Amravati, Ambapeth, Amravati"
"red n hot chinese restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/red-n-hot-chinese-restaurant-maltekedi,500,"Fast Food, Chinese",3.3,28," Block C 12, Ramlaxman Sankul, Sindhi Chowk, K L College Road, Maltekedi, Amravati"
